threads,placement,smt_mode,false_shared_mean_ops,false_shared_std_ops,padded_mean_ops,padded_std_ops,slowdown_mean,slowdown_std,formula
1,none,on,7.22701e+08,1.7337e+07,7.28504e+08,361794,1.00858,0.0254949,slowdown=padded_throughput/false_shared_throughput
1,compact,on,7.28602e+08,375084,7.28573e+08,400149,0.99996,0.000504648,slowdown=padded_throughput/false_shared_throughput
1,compact,off,7.29143e+08,144106,7.29135e+08,126696,0.999989,0.00012845,slowdown=padded_throughput/false_shared_throughput
1,spread,on,7.28635e+08,980935,7.2764e+08,2.44283e+06,0.998633,0.00264857,slowdown=padded_throughput/false_shared_throughput
1,spread,off,7.26353e+08,2.15591e+06,7.26026e+08,2.53328e+06,0.99955,0.0024864,slowdown=padded_throughput/false_shared_throughput
2,none,on,7.47871e+08,6.84244e+06,1.4515e+09,3.0025e+06,1.94098,0.0169545,slowdown=padded_throughput/false_shared_throughput
2,compact,on,6.37169e+08,3.55548e+07,1.23762e+09,239566,1.94787,0.109445,slowdown=padded_throughput/false_shared_throughput
2,compact,off,7.60261e+08,1.24778e+07,1.45677e+09,1.28062e+06,1.91662,0.0324622,slowdown=padded_throughput/false_shared_throughput
2,spread,on,6.10852e+08,4.42928e+06,6.52684e+08,2.64596e+07,1.06855,0.044419,slowdown=padded_throughput/false_shared_throughput
2,spread,off,7.29091e+08,293710,7.29148e+08,212984,1.00008,0.000287418,slowdown=padded_throughput/false_shared_throughput
3,none,on,7.61845e+08,3.02732e+06,1.47869e+09,1.61342e+07,1.94097,0.0236054,slowdown=padded_throughput/false_shared_throughput
3,compact,on,7.19061e+08,2.98768e+07,1.25643e+09,4.32174e+06,1.75042,0.0829739,slowdown=padded_throughput/false_shared_throughput
3,compact,off,7.64135e+08,344448,1.4731e+09,1.21724e+07,1.9278,0.0153794,slowdown=padded_throughput/false_shared_throughput
3,spread,on,7.63582e+08,1.1618e+06,1.46345e+09,9.88175e+06,1.91656,0.0129241,slowdown=padded_throughput/false_shared_throughput
3,spread,off,7.63135e+08,1.89146e+06,1.46636e+09,8.23302e+06,1.92149,0.00941765,slowdown=padded_throughput/false_shared_throughput
4,none,on,7.1664e+08,1.33283e+07,1.27963e+09,2.47857e+07,1.7861,0.0462318,slowdown=padded_throughput/false_shared_throughput
4,compact,on,7.20737e+08,1.62805e+06,1.26473e+09,7.85899e+06,1.75478,0.0112684,slowdown=padded_throughput/false_shared_throughput
4,compact,off,9.34529e+08,1.28336e+07,1.345e+09,1.31085e+07,1.43937,0.0165635,slowdown=padded_throughput/false_shared_throughput
4,spread,on,6.91085e+08,1.4711e+07,1.40584e+09,2.45573e+07,2.03467,0.0353973,slowdown=padded_throughput/false_shared_throughput
4,spread,off,6.43976e+08,1.20015e+07,7.28454e+08,2.47102e+07,1.13113,0.0300745,slowdown=padded_throughput/false_shared_throughput
6,none,on,6.8415e+08,1.69064e+07,1.2259e+09,1.74073e+07,1.79332,0.0681423,slowdown=padded_throughput/false_shared_throughput
6,compact,on,6.88666e+08,3.75091e+06,1.29066e+09,6.20643e+06,1.87417,0.0077704,slowdown=padded_throughput/false_shared_throughput
6,compact,off,9.80634e+08,1.07708e+07,1.35602e+09,3.82834e+06,1.38296,0.0161544,slowdown=padded_throughput/false_shared_throughput
6,spread,on,9.85784e+08,6.09433e+06,1.35726e+09,1.96427e+06,1.37688,0.00878299,slowdown=padded_throughput/false_shared_throughput
6,spread,off,7.57869e+08,855523,1.27991e+09,9.96533e+07,1.68879,0.131078,slowdown=padded_throughput/false_shared_throughput
8,none,on,7.27763e+08,3.09079e+07,1.39686e+09,1.05328e+08,1.92404,0.188752,slowdown=padded_throughput/false_shared_throughput
8,compact,on,7.33847e+08,4.05177e+06,1.48172e+09,2.06706e+07,2.01914,0.0275987,slowdown=padded_throughput/false_shared_throughput
8,compact,off,7.31442e+08,1.52598e+06,1.48453e+09,1.22886e+07,2.02961,0.0180721,slowdown=padded_throughput/false_shared_throughput
8,spread,on,7.31115e+08,2.61803e+06,1.48393e+09,6.33343e+06,2.02969,0.00939915,slowdown=padded_throughput/false_shared_throughput
8,spread,off,7.29351e+08,4.64754e+06,1.48297e+09,6.37249e+06,2.03331,0.00771365,slowdown=padded_throughput/false_shared_throughput
10,none,on,7.2434e+08,2.02989e+07,1.43412e+09,8.37127e+07,1.97922,0.0857616,slowdown=padded_throughput/false_shared_throughput
10,compact,on,7.23289e+08,2.69787e+06,1.55116e+09,1.75018e+07,2.14458,0.0213743,slowdown=padded_throughput/false_shared_throughput
10,compact,off,7.20214e+08,6.40486e+06,1.53732e+09,2.67174e+07,2.13456,0.0334936,slowdown=padded_throughput/false_shared_throughput
10,spread,on,7.24537e+08,5.145e+06,1.55011e+09,3.19411e+07,2.13953,0.0455756,slowdown=padded_throughput/false_shared_throughput
10,spread,off,7.24582e+08,2.62798e+06,1.55444e+09,8.99725e+06,2.14532,0.0145117,slowdown=padded_throughput/false_shared_throughput
12,none,on,7.3264e+08,7.89373e+06,1.38036e+09,6.34882e+07,1.88446,0.0927122,slowdown=padded_throughput/false_shared_throughput
12,compact,on,7.31595e+08,4.45523e+06,1.51062e+09,1.70745e+07,2.06478,0.0137293,slowdown=padded_throughput/false_shared_throughput
12,compact,off,7.33527e+08,1.8547e+06,1.50983e+09,1.07636e+07,2.05832,0.014252,slowdown=padded_throughput/false_shared_throughput
12,spread,on,7.3124e+08,3.84271e+06,1.50026e+09,2.06708e+07,2.05167,0.0258632,slowdown=padded_throughput/false_shared_throughput
12,spread,off,7.31934e+08,2.63791e+06,1.50819e+09,9.19483e+06,2.06057,0.013717,slowdown=padded_throughput/false_shared_throughput
